,Open,High,Low,Close,Volume
2024-04-16,414.57,418.4,413.7301,414.58,16765616
2024-04-17,417.25,418.88,410.33,411.84,15855485
2024-04-18,410.63,411.89,403.95,404.27,21029917
2024-04-19,404.03,405.48,397.77,399.12,30565789
2024-04-22,400.08,402.85,395.75,400.96,20286875
2024-04-23,404.235,408.2,403.06,407.57,15734501
2024-04-24,409.56,412.47,406.78,409.06,15065330
2024-04-25,394.03,399.8899,388.03,399.04,40586450
2024-04-26,412.17,413.0,405.7601,406.32,29694654
2024-04-29,405.25,406.32,399.19,402.25,19582091
2024-04-30,401.49,402.16,389.17,389.33,28781374
2024-05-01,392.61,401.7199,390.31,394.94,23562481
2024-05-02,397.66,399.93,394.6515,397.84,17709364
2024-05-03,402.28,407.15,401.86,406.66,17446724
2024-05-06,408.76,413.93,406.3701,413.54,16996639
2024-05-07,414.66,414.67,409.09,409.34,20018228
2024-05-08,408.17,412.23,406.7132,410.54,11792308
2024-05-09,410.57,412.72,409.1,412.32,14689727
2024-05-10,412.935,415.38,411.8,414.74,13402281
2024-05-13,418.01,418.348,410.82,413.72,15440226
2024-05-14,412.02,417.49,411.55,416.56,15109306
2024-05-15,417.9,423.81,417.27,423.08,22239533
2024-05-16,421.8,425.42,420.35,420.99,17530050
2024-05-17,422.54,422.92,418.025,420.21,15352239
2024-05-20,420.21,426.77,419.99,425.34,16272137
2024-05-21,426.825,432.97,424.85,429.04,21453255
2024-05-22,430.09,432.41,427.13,430.52,18073698
2024-05-23,432.97,433.6,425.424,427.0,17211689
2024-05-24,427.19,431.055,424.41,430.16,11855285
2024-05-28,429.63,430.82,426.6,430.32,15718024
2024-05-29,425.69,430.94,425.69,429.17,15517130
2024-05-30,424.3,424.3,414.24,414.67,28424847
2024-05-31,416.75,416.75,404.51,415.13,47995250
2024-06-03,415.525,416.43,408.9234,413.52,17484675
2024-06-04,412.43,416.44,409.675,416.07,14348917
2024-06-05,417.81,424.08,416.3,424.01,16988038
2024-06-06,424.01,425.31,420.58,424.52,14861251
2024-06-07,426.2,426.28,423.0,423.85,13621650
2024-06-10,424.7,428.08,423.89,427.87,14003034
2024-06-11,425.475,432.82,425.25,432.68,14551101
2024-06-12,435.32,443.4,433.25,441.06,22366233
2024-06-13,440.85,443.39,439.37,441.58,15960565
2024-06-14,438.275,443.1376,436.721,442.57,13581985
2024-06-17,442.585,450.94,440.72,448.37,20790030
2024-06-18,449.705,450.14,444.89,446.34,17112504
2024-06-20,446.3,446.53,441.27,445.7,19877378
2024-06-21,447.38,450.58,446.51,449.78,34486172
2024-06-24,449.8,452.75,446.41,447.67,15913719
2024-06-25,448.25,451.42,446.75,450.95,16747529
2024-06-26,449.0,453.6,448.19,452.16,16507030
2024-06-27,452.175,456.17,451.77,452.85,14806324
2024-06-28,453.07,455.38,446.41,446.95,28362271
2024-07-01,448.66,457.37,445.66,456.73,17662818
2024-07-02,453.2,459.59,453.113,459.28,13979779
2024-07-03,458.19,461.02,457.88,460.77,9932830
2024-07-05,459.61,468.35,458.965,467.56,16000290
2024-07-08,466.55,467.7,464.46,466.24,12962321
2024-07-09,467.0,467.33,458.0,459.54,17228507
2024-07-10,461.22,466.46,458.855,466.25,18196100
2024-07-11,462.98,464.78,451.55,454.7,23111175
2024-07-12,454.325,456.36,450.645,453.55,16324274
2024-07-15,453.3,457.26,451.43,453.96,14429447
2024-07-16,454.22,454.3,446.66,449.52,17175679
2024-07-17,442.59,444.85,439.18,443.52,21754021
2024-07-18,444.34,444.65,434.4,440.37,20794822
2024-07-19,433.1,441.14,432.0,437.11,20940417
2024-07-22,441.79,444.6,438.9125,442.94,15808755
2024-07-23,443.895,448.39,443.1,444.85,13107050
2024-07-24,440.45,441.48,427.585,428.9,26805800
2024-07-25,428.8,429.8,417.51,418.4,29943795
2024-07-26,418.2,428.915,417.27,425.27,23583839
2024-07-29,431.58,432.15,424.7042,426.73,15125836
2024-07-30,427.72,429.05,417.36,422.92,32687578
2024-07-31,420.495,421.775,412.21,418.35,42891366
2024-08-01,420.785,427.46,413.0901,417.11,30296400
2024-08-02,412.49,415.0,404.34,408.49,29437900
2024-08-05,389.17,401.04,385.58,395.15,40709238
2024-08-06,400.0,405.67,398.5,399.61,24946525
2024-08-07,408.635,410.08,397.47,398.43,20650906
2024-08-08,402.44,405.86,399.9407,402.69,20203030
2024-08-09,404.03,408.05,402.2624,406.02,19276666
2024-08-12,407.06,408.76,404.2434,406.81,16762883
2024-08-13,409.59,414.95,409.57,414.01,19414271
2024-08-14,414.8,417.72,412.4456,416.86,18266980
2024-08-15,419.8,421.11,417.66,421.03,20752144
2024-08-16,420.6,421.34,417.3,418.47,22775593
2024-08-19,418.96,421.75,416.46,421.53,15233957
2024-08-20,421.7,425.86,421.64,424.8,16387581
2024-08-21,424.075,426.4,421.72,424.14,16067298
2024-08-22,424.36,426.7899,414.61,415.55,19361901
2024-08-23,416.98,419.26,412.09,416.79,18493784
2024-08-26,416.365,417.2799,411.34,413.49,13152830
2024-08-27,412.86,414.36,410.25,413.84,13492911
2024-08-28,414.88,415.0,407.31,410.6,14882660
2024-08-29,414.94,422.05,410.6,413.12,17045241
2024-08-30,415.6,417.49,412.13,417.14,24308324
2024-09-03,417.91,419.88,407.03,409.44,20313603
2024-09-04,405.91,411.24,404.37,408.9,14886710
2024-09-05,407.62,413.1,406.13,408.39,14195516
2024-09-06,409.06,410.65,400.8,401.7,19609526
